"'Адрес","'Код","'IP","'CR","'AR","'DR","'SP","'BR","'AC","'NZVC","'Адрес","'Новый код"
"'420","'0200","'421","'0200","'420","'0200","'000","'0420","'0000","'0100"
"'43B","'7F0A","'43C","'7F0A","'43B","'000A","'000","'000A","'00ED","'0001"
"'43C","'F1E7","'424","'F1E7","'43C","'F1E7","'000","'FFE7","'00ED","'0001"
"'424","'0000","'425","'0000","'424","'0000","'000","'0424","'00ED","'0001"
"'425","'1205","'426","'1205","'425","'1205","'000","'0425","'0040","'0001"
"'426","'2F40","'427","'2F40","'426","'0040","'000","'0040","'0040","'0001"
"'427","'F0FD","'428","'F0FD","'427","'F0FD","'000","'0427","'0040","'0001"
"'428","'1204","'429","'1204","'428","'1204","'000","'0428","'00CF","'0001"
"'429","'EE14","'42A","'EE14","'43E","'00CF","'000","'0014","'00CF","'0001","'43E","'00CF"
"'42A","'AE14","'42B","'AE14","'43F","'0001","'000","'0014","'0001","'0001"
"'42B","'2F01","'42C","'2F01","'42B","'0001","'000","'0001","'0001","'0001"
"'42C","'F001","'42D","'F001","'42C","'F001","'000","'042C","'0001","'0001"
"'42D","'CE02","'430","'CE02","'42D","'0430","'000","'0002","'0001","'0001"
"'430","'AE0D","'431","'AE0D","'43E","'00CF","'000","'000D","'00CF","'0001"
"'431","'0680","'432","'0680","'431","'0680","'000","'0431","'CF00","'1001"
"'432","'380E","'433","'380E","'5C7","'00ED","'000","'3012","'CFED","'1001"
"'433","'E80D","'434","'E80D","'5C7","'CFED","'000","'000D","'CFED","'1001","'5C7","'CFED"
"'434","'AE0C","'435","'AE0C","'441","'05C7","'000","'000C","'05C7","'0001"
"'435","'4E09","'436","'4E09","'43F","'0001","'000","'0009","'05C8","'0000"
"'436","'EE0A","'437","'EE0A","'441","'05C8","'000","'000A","'05C8","'0000","'441","'05C8"
"'437","'AF01","'438","'AF01","'437","'0001","'000","'0001","'0001","'0000"
"'438","'6E06","'439","'6E06","'43F","'0001","'000","'0006","'0000","'0101"
"'439","'EE05","'43A","'EE05","'43F","'0000","'000","'0005","'0000","'0101","'43F","'0000"
"'43A","'AE03","'43B","'AE03","'43E","'00CF","'000","'0003","'00CF","'0001"
"'43B","'7F0A","'43C","'7F0A","'43B","'000A","'000","'000A","'00CF","'0001"
"'43C","'F1E7","'424","'F1E7","'43C","'F1E7","'000","'FFE7","'00CF","'0001"
"'424","'0000","'425","'0000","'424","'0000","'000","'0424","'00CF","'0001"
"'425","'1205","'426","'1205","'425","'1205","'000","'0425","'0040","'0001"
"'426","'2F40","'427","'2F40","'426","'0040","'000","'0040","'0040","'0001"
"'427","'F0FD","'428","'F0FD","'427","'F0FD","'000","'0427","'0040","'0001"
"'428","'1204","'429","'1204","'428","'1204","'000","'0428","'00CC","'0001"
"'429","'EE14","'42A","'EE14","'43E","'00CC","'000","'0014","'00CC","'0001","'43E","'00CC"
"'42A","'AE14","'42B","'AE14","'43F","'0000","'000","'0014","'0000","'0101"
"'42B","'2F01","'42C","'2F01","'42B","'0001","'000","'0001","'0000","'0101"
"'42C","'F001","'42E","'F001","'42C","'F001","'000","'0001","'0000","'0101"
"'42E","'AE0F","'42F","'AE0F","'43E","'00CC","'000","'000F","'00CC","'0001"
"'42F","'CE02","'432","'CE02","'42F","'0432","'000","'0002","'00CC","'0001"
"'432","'380E","'433","'380E","'5C8","'0000","'000","'FF33","'00CC","'0001"
"'433","'E80D","'434","'E80D","'5C8","'00CC","'000","'000D","'00CC","'0001","'5C8","'00CC"
"'434","'AE0C","'435","'AE0C","'441","'05C8","'000","'000C","'05C8","'0001"
"'435","'4E09","'436","'4E09","'43F","'0000","'000","'0009","'05C8","'0000"
"'436","'EE0A","'437","'EE0A","'441","'05C8","'000","'000A","'05C8","'0000","'441","'05C8"
"'437","'AF01","'438","'AF01","'437","'0001","'000","'0001","'0001","'0000"
"'438","'6E06","'439","'6E06","'43F","'0000","'000","'0006","'0001","'0001"
"'439","'EE05","'43A","'EE05","'43F","'0001","'000","'0005","'0001","'0001","'43F","'0001"
"'43A","'AE03","'43B","'AE03","'43E","'00CC","'000","'0003","'00CC","'0001"
"'43B","'7F0A","'43C","'7F0A","'43B","'000A","'000","'000A","'00CC","'0001"
"'43C","'F1E7","'424","'F1E7","'43C","'F1E7","'000","'FFE7","'00CC","'0001"
"'424","'0000","'425","'0000","'424","'0000","'000","'0424","'00CC","'0001"
"'425","'1205","'426","'1205","'425","'1205","'000","'0425","'0040","'0001"
"'426","'2F40","'427","'2F40","'426","'0040","'000","'0040","'0040","'0001"
"'427","'F0FD","'428","'F0FD","'427","'F0FD","'000","'0427","'0040","'0001"
"'428","'1204","'429","'1204","'428","'1204","'000","'0428","'00CF","'0001"
"'429","'EE14","'42A","'EE14","'43E","'00CF","'000","'0014","'00CF","'0001","'43E","'00CF"
"'42A","'AE14","'42B","'AE14","'43F","'0001","'000","'0014","'0001","'0001"
"'42B","'2F01","'42C","'2F01","'42B","'0001","'000","'0001","'0001","'0001"
"'42C","'F001","'42D","'F001","'42C","'F001","'000","'042C","'0001","'0001"
"'42D","'CE02","'430","'CE02","'42D","'0430","'000","'0002","'0001","'0001"
"'430","'AE0D","'431","'AE0D","'43E","'00CF","'000","'000D","'00CF","'0001"
"'431","'0680","'432","'0680","'431","'0680","'000","'0431","'CF00","'1001"
"'432","'380E","'433","'380E","'5C8","'00CC","'000","'3033","'CFCC","'1001"
"'433","'E80D","'434","'E80D","'5C8","'CFCC","'000","'000D","'CFCC","'1001","'5C8","'CFCC"
"'434","'AE0C","'435","'AE0C","'441","'05C8","'000","'000C","'05C8","'0001"
"'435","'4E09","'436","'4E09","'43F","'0001","'000","'0009","'05C9","'0000"
"'436","'EE0A","'437","'EE0A","'441","'05C9","'000","'000A","'05C9","'0000","'441","'05C9"
"'437","'AF01","'438","'AF01","'437","'0001","'000","'0001","'0001","'0000"
"'438","'6E06","'439","'6E06","'43F","'0001","'000","'0006","'0000","'0101"
"'439","'EE05","'43A","'EE05","'43F","'0000","'000","'0005","'0000","'0101","'43F","'0000"
"'43A","'AE03","'43B","'AE03","'43E","'00CF","'000","'0003","'00CF","'0001"
"'43B","'7F0A","'43C","'7F0A","'43B","'000A","'000","'000A","'00CF","'0001"
"'43C","'F1E7","'424","'F1E7","'43C","'F1E7","'000","'FFE7","'00CF","'0001"
"'424","'0000","'425","'0000","'424","'0000","'000","'0424","'00CF","'0001"
"'425","'1205","'426","'1205","'425","'1205","'000","'0425","'0040","'0001"
"'426","'2F40","'427","'2F40","'426","'0040","'000","'0040","'0040","'0001"
"'427","'F0FD","'428","'F0FD","'427","'F0FD","'000","'0427","'0040","'0001"
"'428","'1204","'429","'1204","'428","'1204","'000","'0428","'00CB","'0001"
"'429","'EE14","'42A","'EE14","'43E","'00CB","'000","'0014","'00CB","'0001","'43E","'00CB"
"'42A","'AE14","'42B","'AE14","'43F","'0000","'000","'0014","'0000","'0101"
"'42B","'2F01","'42C","'2F01","'42B","'0001","'000","'0001","'0000","'0101"
"'42C","'F001","'42E","'F001","'42C","'F001","'000","'0001","'0000","'0101"
"'42E","'AE0F","'42F","'AE0F","'43E","'00CB","'000","'000F","'00CB","'0001"
"'42F","'CE02","'432","'CE02","'42F","'0432","'000","'0002","'00CB","'0001"
"'432","'380E","'433","'380E","'5C9","'0000","'000","'FF34","'00CB","'0001"
"'433","'E80D","'434","'E80D","'5C9","'00CB","'000","'000D","'00CB","'0001","'5C9","'00CB"
"'434","'AE0C","'435","'AE0C","'441","'05C9","'000","'000C","'05C9","'0001"
"'435","'4E09","'436","'4E09","'43F","'0000","'000","'0009","'05C9","'0000"
"'436","'EE0A","'437","'EE0A","'441","'05C9","'000","'000A","'05C9","'0000","'441","'05C9"
"'437","'AF01","'438","'AF01","'437","'0001","'000","'0001","'0001","'0000"
"'438","'6E06","'439","'6E06","'43F","'0000","'000","'0006","'0001","'0001"
"'439","'EE05","'43A","'EE05","'43F","'0001","'000","'0005","'0001","'0001","'43F","'0001"
"'43A","'AE03","'43B","'AE03","'43E","'00CB","'000","'0003","'00CB","'0001"
"'43B","'7F0A","'43C","'7F0A","'43B","'000A","'000","'000A","'00CB","'0001"
"'43C","'F1E7","'424","'F1E7","'43C","'F1E7","'000","'FFE7","'00CB","'0001"
"'424","'0000","'425","'0000","'424","'0000","'000","'0424","'00CB","'0001"
"'425","'1205","'426","'1205","'425","'1205","'000","'0425","'0040","'0001"
"'426","'2F40","'427","'2F40","'426","'0040","'000","'0040","'0040","'0001"
"'427","'F0FD","'428","'F0FD","'427","'F0FD","'000","'0427","'0040","'0001"
"'428","'1204","'429","'1204","'428","'1204","'000","'0428","'00CF","'0001"
"'429","'EE14","'42A","'EE14","'43E","'00CF","'000","'0014","'00CF","'0001","'43E","'00CF"
"'42A","'AE14","'42B","'AE14","'43F","'0001","'000","'0014","'0001","'0001"
"'42B","'2F01","'42C","'2F01","'42B","'0001","'000","'0001","'0001","'0001"
"'42C","'F001","'42D","'F001","'42C","'F001","'000","'042C","'0001","'0001"
"'42D","'CE02","'430","'CE02","'42D","'0430","'000","'0002","'0001","'0001"
"'430","'AE0D","'431","'AE0D","'43E","'00CF","'000","'000D","'00CF","'0001"
"'431","'0680","'432","'0680","'431","'0680","'000","'0431","'CF00","'1001"
"'432","'380E","'433","'380E","'5C9","'00CB","'000","'3034","'CFCB","'1001"
"'433","'E80D","'434","'E80D","'5C9","'CFCB","'000","'000D","'CFCB","'1001","'5C9","'CFCB"
"'434","'AE0C","'435","'AE0C","'441","'05C9","'000","'000C","'05C9","'0001"
"'435","'4E09","'436","'4E09","'43F","'0001","'000","'0009","'05CA","'0000"
"'436","'EE0A","'437","'EE0A","'441","'05CA","'000","'000A","'05CA","'0000","'441","'05CA"
"'437","'AF01","'438","'AF01","'437","'0001","'000","'0001","'0001","'0000"
"'438","'6E06","'439","'6E06","'43F","'0001","'000","'0006","'0000","'0101"
"'439","'EE05","'43A","'EE05","'43F","'0000","'000","'0005","'0000","'0101","'43F","'0000"
"'43A","'AE03","'43B","'AE03","'43E","'00CF","'000","'0003","'00CF","'0001"
"'43B","'7F0A","'43C","'7F0A","'43B","'000A","'000","'000A","'00CF","'0001"
"'43C","'F1E7","'424","'F1E7","'43C","'F1E7","'000","'FFE7","'00CF","'0001"
"'424","'0000","'425","'0000","'424","'0000","'000","'0424","'00CF","'0001"
"'425","'1205","'426","'1205","'425","'1205","'000","'0425","'0040","'0001"
"'426","'2F40","'427","'2F40","'426","'0040","'000","'0040","'0040","'0001"
"'427","'F0FD","'428","'F0FD","'427","'F0FD","'000","'0427","'0040","'0001"
"'428","'1204","'429","'1204","'428","'1204","'000","'0428","'0021","'0001"
"'429","'EE14","'42A","'EE14","'43E","'0021","'000","'0014","'0021","'0001","'43E","'0021"
"'42A","'AE14","'42B","'AE14","'43F","'0000","'000","'0014","'0000","'0101"
"'42B","'2F01","'42C","'2F01","'42B","'0001","'000","'0001","'0000","'0101"
"'42C","'F001","'42E","'F001","'42C","'F001","'000","'0001","'0000","'0101"
"'42E","'AE0F","'42F","'AE0F","'43E","'0021","'000","'000F","'0021","'0001"
"'42F","'CE02","'432","'CE02","'42F","'0432","'000","'0002","'0021","'0001"
"'432","'380E","'433","'380E","'5CA","'0000","'000","'FFDE","'0021","'0001"
"'433","'E80D","'434","'E80D","'5CA","'0021","'000","'000D","'0021","'0001","'5CA","'0021"
"'434","'AE0C","'435","'AE0C","'441","'05CA","'000","'000C","'05CA","'0001"
"'435","'4E09","'436","'4E09","'43F","'0000","'000","'0009","'05CA","'0000"
"'436","'EE0A","'437","'EE0A","'441","'05CA","'000","'000A","'05CA","'0000","'441","'05CA"
"'437","'AF01","'438","'AF01","'437","'0001","'000","'0001","'0001","'0000"
"'438","'6E06","'439","'6E06","'43F","'0000","'000","'0006","'0001","'0001"
"'439","'EE05","'43A","'EE05","'43F","'0001","'000","'0005","'0001","'0001","'43F","'0001"
"'43A","'AE03","'43B","'AE03","'43E","'0021","'000","'0003","'0021","'0001"
"'43B","'7F0A","'43C","'7F0A","'43B","'000A","'000","'000A","'0021","'0001"
"'43C","'F1E7","'424","'F1E7","'43C","'F1E7","'000","'FFE7","'0021","'0001"
"'424","'0000","'425","'0000","'424","'0000","'000","'0424","'0021","'0001"
"'425","'1205","'426","'1205","'425","'1205","'000","'0425","'0040","'0001"
"'426","'2F40","'427","'2F40","'426","'0040","'000","'0040","'0040","'0001"
"'427","'F0FD","'428","'F0FD","'427","'F0FD","'000","'0427","'0040","'0001"
"'428","'1204","'429","'1204","'428","'1204","'000","'0428","'000A","'0001"
"'429","'EE14","'42A","'EE14","'43E","'000A","'000","'0014","'000A","'0001","'43E","'000A"
"'42A","'AE14","'42B","'AE14","'43F","'0001","'000","'0014","'0001","'0001"
"'42B","'2F01","'42C","'2F01","'42B","'0001","'000","'0001","'0001","'0001"
"'42C","'F001","'42D","'F001","'42C","'F001","'000","'042C","'0001","'0001"
"'42D","'CE02","'430","'CE02","'42D","'0430","'000","'0002","'0001","'0001"
"'430","'AE0D","'431","'AE0D","'43E","'000A","'000","'000D","'000A","'0001"
"'431","'0680","'432","'0680","'431","'0680","'000","'0431","'0A00","'0001"
"'432","'380E","'433","'380E","'5CA","'0021","'000","'F5DE","'0A21","'0001"
"'433","'E80D","'434","'E80D","'5CA","'0A21","'000","'000D","'0A21","'0001","'5CA","'0A21"
"'434","'AE0C","'435","'AE0C","'441","'05CA","'000","'000C","'05CA","'0001"
"'435","'4E09","'436","'4E09","'43F","'0001","'000","'0009","'05CB","'0000"
"'436","'EE0A","'437","'EE0A","'441","'05CB","'000","'000A","'05CB","'0000","'441","'05CB"
"'437","'AF01","'438","'AF01","'437","'0001","'000","'0001","'0001","'0000"
"'438","'6E06","'439","'6E06","'43F","'0001","'000","'0006","'0000","'0101"
"'439","'EE05","'43A","'EE05","'43F","'0000","'000","'0005","'0000","'0101","'43F","'0000"
"'43A","'AE03","'43B","'AE03","'43E","'000A","'000","'0003","'000A","'0001"
"'43B","'7F0A","'43C","'7F0A","'43B","'000A","'000","'000A","'000A","'0101"
"'43C","'F1E7","'43D","'F1E7","'43C","'F1E7","'000","'043C","'000A","'0101"
"'43D","'0100","'43E","'0100","'43D","'0100","'000","'043D","'000A","'0101"
